epoch: 0	train ppl: 280901.22241338436	val ppl: 4441.353375046961	best val: 4441.353375046961	time (s) spent in epoch: 171.39868783950806
epoch: 1	train ppl: 2344.1421073265465	val ppl: 2400.688818799433	best val: 2400.688818799433	time (s) spent in epoch: 170.01677989959717
epoch: 2	train ppl: 759.7441459329698	val ppl: 610.042769248459	best val: 610.042769248459	time (s) spent in epoch: 170.00483655929565
epoch: 3	train ppl: 604.9051721124437	val ppl: 455.0374332088567	best val: 455.0374332088567	time (s) spent in epoch: 170.092866897583
epoch: 4	train ppl: 504.6814533908223	val ppl: 460.774565063273	best val: 455.0374332088567	time (s) spent in epoch: 170.09452629089355
epoch: 5	train ppl: 432.1496421243736	val ppl: 487.015258292	best val: 455.0374332088567	time (s) spent in epoch: 170.01604080200195
epoch: 6	train ppl: 374.96588244737745	val ppl: 366.1752099858582	best val: 366.1752099858582	time (s) spent in epoch: 170.09248876571655
epoch: 7	train ppl: 318.3421737869331	val ppl: 356.96327879597715	best val: 356.96327879597715	time (s) spent in epoch: 169.81200885772705
epoch: 8	train ppl: 277.7292739098809	val ppl: 291.8122353061141	best val: 291.8122353061141	time (s) spent in epoch: 168.5109417438507
epoch: 9	train ppl: 245.0913802714577	val ppl: 279.91709504240947	best val: 279.91709504240947	time (s) spent in epoch: 168.448007106781
epoch: 10	train ppl: 213.88027886535403	val ppl: 212.68161573463726	best val: 212.68161573463726	time (s) spent in epoch: 168.45510983467102
epoch: 11	train ppl: 187.43131820559066	val ppl: 215.95581365650926	best val: 212.68161573463726	time (s) spent in epoch: 168.32187247276306
epoch: 12	train ppl: 169.5283669911747	val ppl: 191.33670468705003	best val: 191.33670468705003	time (s) spent in epoch: 168.39000964164734
epoch: 13	train ppl: 149.24732775417309	val ppl: 188.52547359205147	best val: 188.52547359205147	time (s) spent in epoch: 168.2917709350586
epoch: 14	train ppl: 137.507961729923	val ppl: 201.8548331282574	best val: 188.52547359205147	time (s) spent in epoch: 168.30844640731812
epoch: 15	train ppl: 126.61171301112101	val ppl: 183.80837434851836	best val: 183.80837434851836	time (s) spent in epoch: 168.29402542114258
epoch: 16	train ppl: 115.99384824245868	val ppl: 211.0649817902976	best val: 183.80837434851836	time (s) spent in epoch: 168.49568676948547
epoch: 17	train ppl: 106.47843589577181	val ppl: 175.27636982388515	best val: 175.27636982388515	time (s) spent in epoch: 168.38928890228271
epoch: 18	train ppl: 96.63465763204384	val ppl: 165.39831991703014	best val: 165.39831991703014	time (s) spent in epoch: 168.32085156440735
epoch: 19	train ppl: 90.88017642165428	val ppl: 185.15765999139762	best val: 165.39831991703014	time (s) spent in epoch: 168.32488679885864
epoch: 20	train ppl: 83.22377747327043	val ppl: 185.6034590894469	best val: 165.39831991703014	time (s) spent in epoch: 168.27927350997925
epoch: 21	train ppl: 77.3484187501907	val ppl: 175.58566789086544	best val: 165.39831991703014	time (s) spent in epoch: 168.41762232780457
epoch: 22	train ppl: 71.01569474311576	val ppl: 177.05359049477548	best val: 165.39831991703014	time (s) spent in epoch: 168.4091305732727
epoch: 23	train ppl: 65.81594177326356	val ppl: 185.9468124664562	best val: 165.39831991703014	time (s) spent in epoch: 168.24458503723145
epoch: 24	train ppl: 62.21747908447078	val ppl: 179.18778472299752	best val: 165.39831991703014	time (s) spent in epoch: 168.3619601726532
epoch: 25	train ppl: 55.422063268957146	val ppl: 197.04077132657474	best val: 165.39831991703014	time (s) spent in epoch: 168.32570052146912
epoch: 26	train ppl: 52.98960463740116	val ppl: 222.20091095188195	best val: 165.39831991703014	time (s) spent in epoch: 168.47424030303955
epoch: 27	train ppl: 48.66975860404038	val ppl: 214.5893802924609	best val: 165.39831991703014	time (s) spent in epoch: 168.50469064712524
epoch: 28	train ppl: 45.40622002177161	val ppl: 221.40789557610285	best val: 165.39831991703014	time (s) spent in epoch: 168.42116737365723
epoch: 29	train ppl: 42.68313697050569	val ppl: 220.37270722268258	best val: 165.39831991703014	time (s) spent in epoch: 168.4348385334015
epoch: 30	train ppl: 39.88750416979301	val ppl: 293.3916197295325	best val: 165.39831991703014	time (s) spent in epoch: 168.59481239318848
epoch: 31	train ppl: 36.90419168844388	val ppl: 261.6271268871733	best val: 165.39831991703014	time (s) spent in epoch: 168.3330419063568
epoch: 32	train ppl: 34.16529830070397	val ppl: 311.57938636070287	best val: 165.39831991703014	time (s) spent in epoch: 168.477281332016
epoch: 33	train ppl: 31.428898372096935	val ppl: 259.10996738460403	best val: 165.39831991703014	time (s) spent in epoch: 168.4527771472931
epoch: 34	train ppl: 29.561906950198434	val ppl: 326.9016077540548	best val: 165.39831991703014	time (s) spent in epoch: 168.4077546596527
epoch: 35	train ppl: 27.270895021207235	val ppl: 342.089581373411	best val: 165.39831991703014	time (s) spent in epoch: 168.39772129058838
epoch: 36	train ppl: 25.553798277616153	val ppl: 375.3039916415842	best val: 165.39831991703014	time (s) spent in epoch: 168.45021963119507
epoch: 37	train ppl: 23.63874519468776	val ppl: 374.83153581002085	best val: 165.39831991703014	time (s) spent in epoch: 168.4445984363556
epoch: 38	train ppl: 22.375555832573408	val ppl: 340.60195019990124	best val: 165.39831991703014	time (s) spent in epoch: 168.4976303577423
epoch: 39	train ppl: 20.69574966648006	val ppl: 407.84243753764196	best val: 165.39831991703014	time (s) spent in epoch: 168.55569434165955
