epoch: 0	train ppl: 280901.22241338436	val ppl: 4441.353375046961	best val: 4441.353375046961	time (s) spent in epoch: 170.82531118392944
epoch: 1	train ppl: 2344.1421073265465	val ppl: 2400.688818799433	best val: 2400.688818799433	time (s) spent in epoch: 169.7391951084137
epoch: 2	train ppl: 759.7441459329698	val ppl: 610.042769248459	best val: 610.042769248459	time (s) spent in epoch: 171.26128578186035
epoch: 3	train ppl: 604.9051721124437	val ppl: 455.0374332088567	best val: 455.0374332088567	time (s) spent in epoch: 169.35810494422913
epoch: 4	train ppl: 504.6814533908223	val ppl: 460.774565063273	best val: 455.0374332088567	time (s) spent in epoch: 167.05731391906738
epoch: 5	train ppl: 432.1496421243736	val ppl: 487.015258292	best val: 455.0374332088567	time (s) spent in epoch: 164.8021821975708
epoch: 6	train ppl: 374.96588244737745	val ppl: 366.1752099858582	best val: 366.1752099858582	time (s) spent in epoch: 166.87764525413513
epoch: 7	train ppl: 318.3421737869331	val ppl: 356.96327879597715	best val: 356.96327879597715	time (s) spent in epoch: 168.23786115646362
epoch: 8	train ppl: 277.7292739098809	val ppl: 291.8122353061141	best val: 291.8122353061141	time (s) spent in epoch: 167.95864748954773
epoch: 9	train ppl: 245.0913802714577	val ppl: 279.91709504240947	best val: 279.91709504240947	time (s) spent in epoch: 170.06237411499023
epoch: 10	train ppl: 213.88027886535403	val ppl: 212.68161573463726	best val: 212.68161573463726	time (s) spent in epoch: 170.83074688911438
epoch: 11	train ppl: 187.43131820559066	val ppl: 215.95581365650926	best val: 212.68161573463726	time (s) spent in epoch: 169.26794528961182
epoch: 12	train ppl: 169.5283669911747	val ppl: 191.33670468705003	best val: 191.33670468705003	time (s) spent in epoch: 170.94974827766418
epoch: 13	train ppl: 149.24732775417309	val ppl: 188.52547359205147	best val: 188.52547359205147	time (s) spent in epoch: 171.16292071342468
epoch: 14	train ppl: 137.507961729923	val ppl: 201.8548331282574	best val: 188.52547359205147	time (s) spent in epoch: 169.22200298309326
epoch: 15	train ppl: 107.53540538867416	val ppl: 158.73652489507091	best val: 158.73652489507091	time (s) spent in epoch: 171.25924682617188
epoch: 16	train ppl: 85.73076610102844	val ppl: 150.25325649564823	best val: 150.25325649564823	time (s) spent in epoch: 171.75736021995544
epoch: 17	train ppl: 69.89600118847513	val ppl: 151.36425733344174	best val: 150.25325649564823	time (s) spent in epoch: 168.74065923690796
epoch: 18	train ppl: 59.68048710629952	val ppl: 148.85426130926103	best val: 148.85426130926103	time (s) spent in epoch: 170.80333423614502
epoch: 19	train ppl: 53.649880565049656	val ppl: 151.33205668439453	best val: 148.85426130926103	time (s) spent in epoch: 168.4906964302063
epoch: 20	train ppl: 50.41078274459875	val ppl: 152.0887300104585	best val: 148.85426130926103	time (s) spent in epoch: 169.66534161567688
epoch: 21	train ppl: 48.893956965400875	val ppl: 151.25969225149203	best val: 148.85426130926103	time (s) spent in epoch: 169.7374267578125
epoch: 22	train ppl: 48.26922445520738	val ppl: 150.26922999965984	best val: 148.85426130926103	time (s) spent in epoch: 168.94980669021606
epoch: 23	train ppl: 48.04675654967222	val ppl: 149.92378538923342	best val: 148.85426130926103	time (s) spent in epoch: 169.07755160331726
epoch: 24	train ppl: 47.9676970071226	val ppl: 149.84762849399314	best val: 148.85426130926103	time (s) spent in epoch: 169.26512122154236
epoch: 25	train ppl: 47.98260325955666	val ppl: 149.82901616502667	best val: 148.85426130926103	time (s) spent in epoch: 169.22597193717957
epoch: 26	train ppl: 47.94589685477383	val ppl: 149.82611377892076	best val: 148.85426130926103	time (s) spent in epoch: 168.90436029434204
epoch: 27	train ppl: 47.93540731529614	val ppl: 149.82568958873748	best val: 148.85426130926103	time (s) spent in epoch: 169.11055660247803
epoch: 28	train ppl: 47.95075138130668	val ppl: 149.82565833266622	best val: 148.85426130926103	time (s) spent in epoch: 168.62749600410461
epoch: 29	train ppl: 47.943699465438335	val ppl: 149.82566726297162	best val: 148.85426130926103	time (s) spent in epoch: 168.5923068523407
epoch: 30	train ppl: 47.96512698208971	val ppl: 149.82565386751372	best val: 148.85426130926103	time (s) spent in epoch: 169.15429949760437
epoch: 31	train ppl: 47.92892989322506	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 169.80105829238892
epoch: 32	train ppl: 47.953376309668016	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 170.03998351097107
epoch: 33	train ppl: 47.950180429950244	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 170.00692296028137
epoch: 34	train ppl: 47.95399728444906	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 169.9767541885376
epoch: 35	train ppl: 47.91749787145543	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 169.72485065460205
epoch: 36	train ppl: 47.946652092557834	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 167.52348828315735
epoch: 37	train ppl: 47.9392974795701	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 165.7077760696411
epoch: 38	train ppl: 48.005686990945605	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 165.9353289604187
epoch: 39	train ppl: 47.9862870629563	val ppl: 149.82567172812452	best val: 148.85426130926103	time (s) spent in epoch: 166.55433630943298
