epoch: 0	train ppl: 319.73736918712194	val ppl: 186.11337471755976	best val: 186.11337471755976	time (s) spent in epoch: 115.9255907535553
epoch: 1	train ppl: 131.34924371023462	val ppl: 149.33799725723162	best val: 149.33799725723162	time (s) spent in epoch: 115.83006739616394
epoch: 2	train ppl: 89.22604915100689	val ppl: 142.5213721061145	best val: 142.5213721061145	time (s) spent in epoch: 115.88836455345154
epoch: 3	train ppl: 66.91346071979507	val ppl: 145.92339435735587	best val: 142.5213721061145	time (s) spent in epoch: 115.90396881103516
epoch: 4	train ppl: 51.98179367844296	val ppl: 154.63609831128875	best val: 142.5213721061145	time (s) spent in epoch: 115.88833785057068
epoch: 5	train ppl: 40.96591831704172	val ppl: 169.37268201072743	best val: 142.5213721061145	time (s) spent in epoch: 115.8874523639679
epoch: 6	train ppl: 32.773680086132124	val ppl: 188.5566307319446	best val: 142.5213721061145	time (s) spent in epoch: 116.05227780342102
epoch: 7	train ppl: 25.957939755575115	val ppl: 216.23781652266646	best val: 142.5213721061145	time (s) spent in epoch: 115.9689416885376
epoch: 8	train ppl: 20.784543095074273	val ppl: 250.77096610270448	best val: 142.5213721061145	time (s) spent in epoch: 116.20195889472961
epoch: 9	train ppl: 16.90264783792607	val ppl: 290.4188419736772	best val: 142.5213721061145	time (s) spent in epoch: 116.02552628517151
epoch: 10	train ppl: 13.896758624930602	val ppl: 351.93114181665806	best val: 142.5213721061145	time (s) spent in epoch: 116.52198028564453
epoch: 11	train ppl: 11.649037775431959	val ppl: 423.71353541856564	best val: 142.5213721061145	time (s) spent in epoch: 116.7888331413269
epoch: 12	train ppl: 9.913485562310608	val ppl: 501.9162139667963	best val: 142.5213721061145	time (s) spent in epoch: 115.85435009002686
epoch: 13	train ppl: 8.61178509883734	val ppl: 597.1712878993129	best val: 142.5213721061145	time (s) spent in epoch: 115.86711573600769
epoch: 14	train ppl: 7.592549221868885	val ppl: 698.2566067042878	best val: 142.5213721061145	time (s) spent in epoch: 115.84922885894775
epoch: 15	train ppl: 6.802070625205072	val ppl: 819.8002627293166	best val: 142.5213721061145	time (s) spent in epoch: 115.86427283287048
epoch: 16	train ppl: 6.1706240184385726	val ppl: 948.3769914903	best val: 142.5213721061145	time (s) spent in epoch: 115.82617044448853
epoch: 17	train ppl: 5.643179937882512	val ppl: 1092.7048150754486	best val: 142.5213721061145	time (s) spent in epoch: 115.34814405441284
epoch: 18	train ppl: 5.231543069643237	val ppl: 1259.555088575522	best val: 142.5213721061145	time (s) spent in epoch: 114.96625089645386
epoch: 19	train ppl: 4.850414556455037	val ppl: 1495.2816444649004	best val: 142.5213721061145	time (s) spent in epoch: 114.99139404296875
epoch: 20	train ppl: 4.5462403416680415	val ppl: 1704.5060676097712	best val: 142.5213721061145	time (s) spent in epoch: 114.83510136604309
epoch: 21	train ppl: 4.28202754878691	val ppl: 1933.2046535694199	best val: 142.5213721061145	time (s) spent in epoch: 115.06683850288391
epoch: 22	train ppl: 4.061208893292619	val ppl: 2271.08319339156	best val: 142.5213721061145	time (s) spent in epoch: 114.89116883277893
epoch: 23	train ppl: 3.861790528333651	val ppl: 2547.5409896240367	best val: 142.5213721061145	time (s) spent in epoch: 114.76725268363953
epoch: 24	train ppl: 3.6886519177407275	val ppl: 2792.4637174736436	best val: 142.5213721061145	time (s) spent in epoch: 115.13763952255249
epoch: 25	train ppl: 3.5350524334993088	val ppl: 3132.607630850242	best val: 142.5213721061145	time (s) spent in epoch: 115.13864541053772
epoch: 26	train ppl: 3.403717191261312	val ppl: 3450.678592882079	best val: 142.5213721061145	time (s) spent in epoch: 115.21863770484924
epoch: 27	train ppl: 3.272266883003653	val ppl: 3743.219228825677	best val: 142.5213721061145	time (s) spent in epoch: 115.15270924568176
epoch: 28	train ppl: 3.1557649173818407	val ppl: 4171.482834397872	best val: 142.5213721061145	time (s) spent in epoch: 115.04229140281677
epoch: 29	train ppl: 3.0663948495062825	val ppl: 4826.975580005674	best val: 142.5213721061145	time (s) spent in epoch: 114.95382642745972
epoch: 30	train ppl: 2.9679996774427724	val ppl: 5292.923112905988	best val: 142.5213721061145	time (s) spent in epoch: 114.96540689468384
epoch: 31	train ppl: 2.899520737399401	val ppl: 5558.1101967340055	best val: 142.5213721061145	time (s) spent in epoch: 115.00745248794556
epoch: 32	train ppl: 2.812934296073557	val ppl: 6024.42225703238	best val: 142.5213721061145	time (s) spent in epoch: 114.8981261253357
epoch: 33	train ppl: 2.747928068102096	val ppl: 6454.624134493304	best val: 142.5213721061145	time (s) spent in epoch: 114.87288689613342
epoch: 34	train ppl: 2.6800878720263044	val ppl: 6940.227630937896	best val: 142.5213721061145	time (s) spent in epoch: 114.56095123291016
epoch: 35	train ppl: 2.6253015466967775	val ppl: 7532.452503936507	best val: 142.5213721061145	time (s) spent in epoch: 114.25508379936218
epoch: 36	train ppl: 2.570517251356485	val ppl: 8096.5489274171205	best val: 142.5213721061145	time (s) spent in epoch: 114.93525838851929
epoch: 37	train ppl: 2.524001745555761	val ppl: 8331.721325497241	best val: 142.5213721061145	time (s) spent in epoch: 115.1380021572113
epoch: 38	train ppl: 2.481687170842048	val ppl: 9229.234827581104	best val: 142.5213721061145	time (s) spent in epoch: 115.07873177528381
epoch: 39	train ppl: 2.4322171739354257	val ppl: 9641.133001110818	best val: 142.5213721061145	time (s) spent in epoch: 115.02944016456604
